MOL, HIS163 (N-N), GLU166 (N-O), affinity, low, high
EN300-7430703, 2.30, 4.84, 0.68,0.94, 0.40 
EN300-7434265, NA, NA, 6.83,7.41, 6.43 
EN300-7434265, NA, NA, 6.83,7.41, 6.43 
EN300-60314, 2.91, 2.96, 10.29,10.52, 10.04 
EN300-59896, 2.08, 4.90, 0.78,1.45, -0.02 
EN300-59896, 2.71, 3.22, 0.78,1.45, -0.02 
EN300-75221, 3.02, 2.85, 0.36,1.52, -0.86 
EN300-75221, 2.56, 2.93, 0.36,1.52, -0.86 
EN300-131018, 2.47, 5.12, 0.76,1.52, 0.09 
EN300-115150, 2.47, 2.95, 0.08,0.27, -0.14 
EN300-115150, 2.62, 2.88, 0.08,0.27, -0.14 
EN300-115150, 2.40, 2.98, 0.08,0.27, -0.14 
EN300-115150, 2.58, 3.01, 0.08,0.27, -0.14 
EN300-59553, 2.41, 2.74, 10.18,10.39, 9.95 
EN300-201994, 2.68, 2.83, 0.49,0.80, 0.13 
EN300-212829, 2.79, 2.74, 0.10,1.06, -1.16 
EN300-344955, 2.69, 2.86, 0.28,0.66, -0.11 
EN300-153078, 2.56, 3.11, 0.68,1.09, 0.16 
EN300-1692178, 2.47, 5.85, 1.17,1.83, 0.44 
EN300-2515954, 2.28, 5.42, 2.54,2.94, 2.13 
EN300-295395, 2.53, 2.76, 1.08,1.25, 0.85 
EN300-315164, 2.45, 6.04, 0.92,1.35, 0.41 
EN300-342028, 2.58, 3.01, 5.95,6.57, 5.33 
EN300-352243, 2.28, 2.90, 0.99,1.32, 0.66 
EN300-352243, 2.36, 2.91, 0.99,1.32, 0.66 
EN300-365363, 2.55, 5.25, 0.51,0.76, 0.25 
EN300-650549, 1.87, 6.29, 0.73,1.39, 0.02 
EN300-1272614, 2.76, 3.74, 0.26,0.59, -0.11 
EN300-1723947, 2.18, 6.67, 7.08,7.88, 5.76 
EN300-1723947, 3.23, 2.82, 7.08,7.88, 5.76 
EN300-1723947, 2.70, 5.80, 7.08,7.88, 5.76 
EN300-6478226, 2.72, 2.82, 0.20,0.44, -0.06 
EN300-1604839, 2.46, 4.22, 0.24,0.46, -0.00 
EN300-1604839, 2.26, 3.17, 0.24,0.46, -0.00 
EN300-6497035, NA, NA, 2.19,2.59, 1.89 
EN300-6497035, NA, NA, 2.19,2.59, 1.89 
EN300-6497035, NA, NA, 2.19,2.59, 1.89 
EN300-6497035, 2.60, 2.97, 2.19,2.59, 1.89 
EN300-6497035, NA, NA, 2.19,2.59, 1.89 
EN300-6497035, 7.59, 6.09, 2.19,2.59, 1.89 
EN300-6497035, NA, NA, 2.19,2.59, 1.89 
EN300-6497035, NA, NA, 2.19,2.59, 1.89 
EN300-6512862, 2.52, 2.90, 0.51,0.96, 0.06 
EN300-6734624, 2.92, 2.83, 9.24,10.79, 8.20 
EN300-7429945, 2.01, 6.62, 0.99,1.22, 0.70 
EN300-7430703, 2.30, 4.84, 0.68,0.94, 0.40 
EN300-7434265, 2.89, 2.86, 6.83,7.41, 6.43 
EN300-7434265, NA, NA, 6.83,7.41, 6.43 
EN300-7434265, 3.35, 2.76, 6.83,7.41, 6.43 
EN300-7434265, NA, NA, 6.83,7.41, 6.43 
EN300-7434265, 3.07, 2.90, 6.83,7.41, 6.43 
EN300-7434265, 3.56, 6.10, 6.83,7.41, 6.43 
EN300-7434265, 2.34, 5.02, 6.83,7.41, 6.43 
EN300-7434265, 2.40, 4.74, 6.83,7.41, 6.43 
EN300-7434894, 2.07, 2.98, 0.32,0.68, -0.05 
EN300-26620085, 7.06, 2.92, 1.42,1.81, 1.07 
EN300-26974864, 2.27, 3.06, 0.16,0.57, -0.30 
EN300-26974864, 2.24, 4.75, 0.16,0.57, -0.30 
